Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Supplier
KENTO,POWER,D1,LED_0603_1608Metric,1,C2286,JLC
UniOhm,2K,R1,R_0402_1005Metric,1,C4109,JLC
UniOhm,5.1K,R3 R4,R_0402_1005Metric,2,C25905,JLC
kinghelm,UPSTREAM,J1,KINGHELM_KH-TYPE-C-L10-14P,1,C2761226,JLC-EXT
YIYUAN,EN,SW1 SW1,SW_Push_DPDT_8.5x8.5mm,2,C2911143,JLC-EXT
MOLEX,DOWNSTREAM,J2,MOLEX_48258-0001,1,C505080,LCSC
