Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Supplier
KENTO,POWER,D1,LED_0603_1608Metric,1,C2286,JLC
UniOhm,5.1K,R3 R4,R_0402_1005Metric,2,C25905,JLC
Ckmtw,DOWNSTREAM,J2,CKMTW_USBAS04P,1,C386737,JLC-EXT
kinghelm,UPSTREAM,J1,KINGHELM_KH-TYPE-C-L10-14P,1,C2761226,JLC-EXT
UniOhm,22.1K,R1,R_0402_1005Metric,1,C43473,JLC-EXT
UniOhm,47.5K,R2,R_0402_1005Metric,1,C25896,JLC-EXT
YIYUAN,EN,SW1 SW1,SW_Push_DPDT_8.5x8.5mm,2,C2911143,JLC-EXT
